id,name,country,water_type,area_sqm,elevation,length_m,lat,lon,os_map,google_sat,compactness,aspect_ratio,area_hectares
54,Lochan Gaineamhach,Scotland,,23512,737.7,252,57.45609,-5.17992,https://tarns.netlify.app/?id=54,"https://www.google.com/maps/@?api=1&map_action=map&center=57.45609,-5.17992&zoom=15&basemap=satellite",0.709,1.9,2.35
55,(unnamed),Scotland,,96099,737.1,519,56.74671,-4.90393,https://tarns.netlify.app/?id=55,"https://www.google.com/maps/@?api=1&map_action=map&center=56.74671,-4.90393&zoom=15&basemap=satellite",0.515,1.28,9.61
56,(unnamed),Scotland,,6245,736.0,162,57.09845,-4.60759,https://tarns.netlify.app/?id=56,"https://www.google.com/maps/@?api=1&map_action=map&center=57.09845,-4.60759&zoom=15&basemap=satellite",0.746,3.12,0.62
57,(unnamed),Scotland,,24316,735.9,247,57.11321,-4.56256,https://tarns.netlify.app/?id=57,"https://www.google.com/maps/@?api=1&map_action=map&center=57.11321,-4.56256&zoom=15&basemap=satellite",0.612,1.48,2.43
58,(unnamed),Scotland,pond,5683,735.9,156,57.04164,-4.49547,https://tarns.netlify.app/?id=58,"https://www.google.com/maps/@?api=1&map_action=map&center=57.04164,-4.49547&zoom=15&basemap=satellite",0.456,1.09,0.57
59,(unnamed),Scotland,,94201,735.8,507,57.09289,-4.59781,https://tarns.netlify.app/?id=59,"https://www.google.com/maps/@?api=1&map_action=map&center=57.09289,-4.59781&zoom=15&basemap=satellite",0.54,1.3,9.42
60,(unnamed),Scotland,,39669,735.2,390,57.09499,-4.59092,https://tarns.netlify.app/?id=60,"https://www.google.com/maps/@?api=1&map_action=map&center=57.09499,-4.59092&zoom=15&basemap=satellite",0.49,1.85,3.97
61,Loch Esk,Scotland,lake,35911,735.1,338,56.89911,-3.25304,https://tarns.netlify.app/?id=61,"https://www.google.com/maps/@?api=1&map_action=map&center=56.89911,-3.25304&zoom=15&basemap=satellite",0.509,1.17,3.59
62,(unnamed),Scotland,,66943,733.9,653,57.09354,-4.58711,https://tarns.netlify.app/?id=62,"https://www.google.com/maps/@?api=1&map_action=map&center=57.09354,-4.58711&zoom=15&basemap=satellite",0.384,2.43,6.69
63,Loch Coire nan Dearcag,Scotland,,13848,733.9,291,57.2561,-5.1983,https://tarns.netlify.app/?id=63,"https://www.google.com/maps/@?api=1&map_action=map&center=57.2561,-5.1983&zoom=15&basemap=satellite",0.494,2.85,1.38
64,(unnamed),Scotland,lake,6699,733.3,129,56.46435,-4.44035,https://tarns.netlify.app/?id=64,"https://www.google.com/maps/@?api=1&map_action=map&center=56.46435,-4.44035&zoom=15&basemap=satellite",0.782,1.92,0.67
65,(unnamed),Scotland,lake,9427,732.7,218,58.14109,-4.88072,https://tarns.netlify.app/?id=65,"https://www.google.com/maps/@?api=1&map_action=map&center=58.14109,-4.88072&zoom=15&basemap=satellite",0.435,2.14,0.94
66,(unnamed),Scotland,,10853,731.6,207,57.0974,-4.583,https://tarns.netlify.app/?id=66,"https://www.google.com/maps/@?api=1&map_action=map&center=57.0974,-4.583&zoom=15&basemap=satellite",0.537,2.12,1.09
67,(unnamed),Scotland,,84255,727.3,1054,57.09096,-4.60963,https://tarns.netlify.app/?id=67,"https://www.google.com/maps/@?api=1&map_action=map&center=57.09096,-4.60963&zoom=15&basemap=satellite",0.258,3.38,8.43
68,Lochan a' Bhainne,Scotland,,11924,726.8,247,57.12403,-3.57671,https://tarns.netlify.app/?id=68,"https://www.google.com/maps/@?api=1&map_action=map&center=57.12403,-3.57671&zoom=15&basemap=satellite",0.669,3.43,1.19
69,(unnamed),Scotland,,18753,726.6,312,56.76272,-4.91522,https://tarns.netlify.app/?id=69,"https://www.google.com/maps/@?api=1&map_action=map&center=56.76272,-4.91522&zoom=15&basemap=satellite",0.591,2.96,1.88
70,Loch Carn a' Chuilinn,Scotland,,82564,724.2,542,57.10006,-4.5753,https://tarns.netlify.app/?id=70,"https://www.google.com/maps/@?api=1&map_action=map&center=57.10006,-4.5753&zoom=15&basemap=satellite",0.526,1.86,8.26
71,Loch na Lairige,Scotland,lake,69147,722.8,588,57.07892,-4.37088,https://tarns.netlify.app/?id=71,"https://www.google.com/maps/@?api=1&map_action=map&center=57.07892,-4.37088&zoom=15&basemap=satellite",0.638,3.08,6.91
72,(unnamed),Scotland,,8416,722.0,136,57.06781,-4.49549,https://tarns.netlify.app/?id=72,"https://www.google.com/maps/@?api=1&map_action=map&center=57.06781,-4.49549&zoom=15&basemap=satellite",0.769,1.63,0.84
73,Loch Avon,Scotland,,580781,721.8,2480,57.10267,-3.62802,https://tarns.netlify.app/?id=73,"https://www.google.com/maps/@?api=1&map_action=map&center=57.10267,-3.62802&zoom=15&basemap=satellite",0.544,5.74,58.08
74,Lochan a' Chroin,Scotland,,27720,720.6,367,56.32265,-4.24033,https://tarns.netlify.app/?id=74,"https://www.google.com/maps/@?api=1&map_action=map&center=56.32265,-4.24033&zoom=15&basemap=satellite",0.603,2.88,2.77
75,Loch a' Bhealach Bheithe,Scotland,,343856,720.5,1643,56.81421,-4.4426,https://tarns.netlify.app/?id=75,"https://www.google.com/maps/@?api=1&map_action=map&center=56.81421,-4.4426&zoom=15&basemap=satellite",0.481,3.74,34.39
